Sno,QuesAnsNo,Cosine_Sim,Jaccard_Sim,Manhattan_Dis,Euclidean_Dis,Wordnet_wup_sim,Wordnet_path_sim,wordnet_res_sim,Word_jcn_sim,Wordnet_lin_sim,Wordnet_lch_sim,Bi_gram,embed_glove,embed_sim,embed_b,lengthRatio,embed_glove_ques,lsa,Recall,Precision,PreRec,countch,countch1,countwd1,commonw,Diff,DiffDiv,DiffDiv1,SentRatio,Score
0,11,0.140372481,0.086956522,24,32,0.79,0.49,5.47,2.86E+299,0.68,2.6,0,0.99,0.546018037,0.985287593,0.384615385,0.46,0.44325023,0.375,0.166666667,0.0625,2.5,0.4,2.25,3,10,0.069444444,1.25,1,3.5
1,11,0.394055203,0.227272727,18,20,0.97,0.83,8.38,7.14E+299,0.92,3.33,0.333333333,1,0.621274124,0.990634753,0.384615385,0.8,0.728692185,0.75,0.3,0.225,2.283333333,0.437956204,2.5,6,12,0.075,1.5,1,5
2,11,0.654653671,0.461538462,7,7,1,1,9.34,1.00E+300,1,3.58,0.5,1,0.864771181,0.994228795,0.666666667,0.94,0.998210411,0.875,0.538461538,0.471153846,1.6,0.625,1.625,7,5,0.048076923,0.625,0,4
3,11,0.350931203,0.2,22,26,0.91,0.89,8.36,8.57E+299,0.91,3.39,0.5,1,0.764987879,0.993860285,0.357142857,0.86,0.772682953,0.75,0.272727273,0.204545455,3.133333333,0.319148936,2.75,6,14,0.079545455,1.75,1,5
4,11,0.148249863,0.08,25,29,0.82,0.54,6.16,2.86E+299,0.77,2.71,0,1,0.619762943,0.99168324,0.357142857,0.49,0.572858765,0.375,0.142857143,0.053571429,2.966666667,0.337078652,2.625,3,13,0.077380952,1.625,1,3
5,11,0.133630621,0.071428571,13,13,0.75,0.39,4.95,1.43E+299,0.6,2.42,0,0.94,0.274539198,0.983147881,1.111111111,0.24,0.28761127,0.25,0.285714286,0.071428571,0.766666667,1.304347826,0.875,2,1,0.017857143,0.125,0,2
6,11,0.071428571,0.05,23,33,0.82,0.49,5.71,1.43E+299,0.72,2.72,0,0.99,0.416867329,0.991043846,0.476190476,0.31,0.40549301,0.25,0.153846154,0.038461538,1.966666667,0.508474576,1.625,2,5,0.048076923,0.625,1,2.5
7,11,0.188982237,0.153846154,13,19,0.89,0.62,6.62,4.29E+299,0.8,2.88,0,0.97,0.470668279,0.980282934,0.769230769,0.46,0.334950609,0.375,0.333333333,0.125,1.25,0.8,1.125,3,1,0.013888889,0.125,0,5
8,11,0.070186241,0.047619048,24,34,0.86,0.54,6.2,2.86E+299,0.74,2.76,0,1,0.410638038,0.992313245,0.37037037,0.37,0.358963645,0.25,0.133333333,0.033333333,2.716666667,0.36809816,1.875,2,7,0.058333333,0.875,2,3.5
9,11,0.857142857,0.75,2,2,1,1,9.34,1.00E+300,1,3.58,0.666666667,1,0.969638351,0.999593188,1,0.98,0.974781339,0.875,0.875,0.765625,0.983333333,1.016949153,1,7,0,0,0,0,5
10,11,0.668153105,0.5,5,5,0.91,0.89,8.36,8.57E+299,0.91,3.39,0.5,1,0.864218093,0.997830578,0.909090909,0.85,0.997810676,0.75,0.666666667,0.5,1.133333333,0.882352941,1.125,6,1,0.013888889,0.125,0,5
11,11,0.801783726,0.666666667,3,3,1,1,9.34,1.00E+300,1,3.58,0.5,1,0.969638351,0.9978462,0.909090909,0.98,0.988376158,0.875,0.777777778,0.680555556,1.116666667,0.895522388,1.125,7,1,0.013888889,0.125,0,5
12,11,0.113960576,0.058823529,16,16,0.78,0.4,5.79,1.43E+299,0.7,2.46,0,0.97,0.301789336,0.988738541,0.833333333,0.32,0.201778484,0.25,0.2,0.05,0.966666667,1.034482759,1.25,2,2,0.025,0.25,0,2
13,11,0.267261242,0.2,9,11,0.81,0.56,5.74,4.29E+299,0.69,2.66,0.166666667,0.95,0.559305268,0.983514991,1.111111111,0.45,0.223133721,0.375,0.5,0.1875,0.75,1.333333333,0.75,3,2,0.041666667,0.25,0,4.5
14,11,0.119522861,0.0625,15,15,0.77,0.42,5.2,1.43E+299,0.64,2.45,0,0.99,0.380469401,0.991346066,0.769230769,0.33,0.261983066,0.25,0.181818182,0.045454545,1.416666667,0.705882353,1.375,2,3,0.034090909,0.375,0,2
15,11,0.135768847,0.08,26,34,0.84,0.58,5.91,4.29E+299,0.73,2.79,0,1,0.559595654,0.987828262,0.357142857,0.51,0.363172508,0.375,0.15,0.05625,2.95,0.338983051,2.5,3,12,0.075,1.5,1,4.5
16,11,0.801783726,0.666666667,3,3,1,1,9.34,1.00E+300,1,3.58,0.5,1,0.969638351,0.9978462,0.909090909,0.98,0.988376158,0.875,0.777777778,0.680555556,1.116666667,0.895522388,1.125,7,1,0.013888889,0.125,0,5
17,11,0.109108945,0.055555556,17,17,0.76,0.43,5.75,1.43E+299,0.68,2.52,0,1,0.500150476,0.989891398,0.714285714,0.35,0.377751469,0.25,0.166666667,0.041666667,1.433333333,0.697674419,1.5,2,4,0.041666667,0.5,0,2
18,11,0.119522861,0.0625,15,15,0.75,0.43,4.73,1.43E+299,0.6,2.55,0,0.98,0.306724651,0.988764909,0.909090909,0.32,0.487271988,0.25,0.222222222,0.055555556,0.916666667,1.090909091,1.125,2,1,0.013888889,0.125,0,2
19,11,0.063887656,0.037037037,30,40,0.78,0.43,5.77,1.43E+299,0.76,2.55,0,1,0.451161497,0.986792315,0.3125,0.37,0.355288045,0.25,0.1,0.025,2.816666667,0.355029586,2.5,2,12,0.075,1.5,2,2.5
20,11,0.857142857,0.75,2,2,1,1,9.34,1.00E+300,1,3.58,0.666666667,1,0.969638351,0.999593188,1,0.98,0.969296987,0.875,0.875,0.765625,0.983333333,1.016949153,1,7,0,0,0,0,5
21,11,0.857142857,0.75,2,2,1,1,9.34,1.00E+300,1,3.58,0.666666667,1,0.969638351,0.999593188,1,0.98,0.969296987,0.875,0.875,0.765625,0.983333333,1.016949153,1,7,0,0,0,0,5
22,11,0.109108945,0.066666667,15,17,0.75,0.41,5.1,1.43E+299,0.61,2.49,0,0.92,0.369138687,0.982980272,0.833333333,0.33,0.229618251,0.25,0.222222222,0.055555556,1.1,0.909090909,1.125,2,1,0.013888889,0.125,0,1.5
23,11,0.104828484,0.076923077,14,18,0.73,0.38,4.88,1.43E+299,0.59,2.36,0,0.97,0.306427144,0.986425945,0.909090909,0.29,0.27785241,0.25,0.285714286,0.071428571,1.133333333,0.882352941,0.875,2,1,0.017857143,0.125,0,2.5
24,11,0.857142857,0.75,2,2,1,1,9.34,1.00E+300,1,3.58,0.666666667,1,0.969638351,0.999593188,1,0.98,0.969296987,0.875,0.875,0.765625,0.983333333,1.016949153,1,7,0,0,0,0,5
25,11,0.097590007,0.055555556,18,20,0.78,0.42,5.46,1.43E+299,0.65,2.53,0,0.96,0.350311573,0.979510599,0.666666667,0.33,0.302401025,0.25,0.166666667,0.041666667,1.333333333,0.75,1.5,2,4,0.041666667,0.5,0,2
26,11,0.183339699,0.105263158,18,20,0.84,0.54,6.5,2.86E+299,0.79,2.73,0,1,0.484004112,0.990462069,0.588235294,0.47,0.609048858,0.375,0.214285714,0.080357143,1.633333333,0.612244898,1.75,3,6,0.053571429,0.75,0,3
27,11,0.142857143,0.076923077,12,12,0.83,0.56,5.84,2.86E+299,0.78,2.82,0,0.96,0.382944222,0.984660409,1,0.37,0.491617352,0.25,0.25,0.0625,0.8,1.25,1,2,0,0,0,0,3
28,11,0.051917413,0.024390244,44,58,0.88,0.5,6.33,1.43E+299,0.8,2.73,0,1,0.556044087,0.987345013,0.243902439,0.4,0.211918496,0.25,0.058823529,0.014705882,4.516666667,0.221402214,4.25,2,26,0.095588235,3.25,0,2.5
29,12,0.163663418,0.102564103,44,64,0.91,0.73,8.14,6.15E+299,0.86,3.1,0,1,0.533631704,0.994062204,0.487804878,0.47,0.999976124,0.384615385,0.178571429,0.068681319,2.469387755,0.404958678,2.153846154,5,15,0.041208791,1.153846154,2,3.5
30,12,0.334076552,0.125,16,26,0.85,0.6,6.76,4.62E+299,0.75,2.85,0,0.91,0.612570755,0.983480312,2.222222222,0.29,0.990709225,0.230769231,0.5,0.115384615,0.56122449,1.781818182,0.461538462,3,7,0.08974359,0.538461538,0,4
31,12,0.503952631,0.375,13,21,0.94,0.82,8.43,7.69E+299,0.89,3.28,0.058823529,0.97,0.586537913,0.981019965,1.666666667,0.31,0.911308772,0.538461538,0.7,0.376923077,0.765306122,1.306666667,0.769230769,7,3,0.023076923,0.230769231,0,4.5
32,12,0.157242726,0.1,44,68,0.93,0.76,8.23,6.92E+299,0.88,3.18,0.058823529,1,0.525330725,0.991477833,0.454545455,0.31,0.689348411,0.384615385,0.161290323,0.062034739,3.142857143,0.318181818,2.384615385,5,18,0.044665012,1.384615385,2,3
33,12,0.467707173,0.3125,14,22,0.92,0.76,7.87,6.92E+299,0.86,3.16,0.058823529,0.97,0.461684755,0.982476772,1.818181818,0.23,0.856519869,0.461538462,0.666666667,0.307692308,0.704081633,1.420289855,0.692307692,6,4,0.034188034,0.307692308,0,3
34,12,0.15430335,0.117647059,18,30,0.81,0.42,6.41,2.31E+299,0.7,2.49,0,0.96,0.375223308,0.97273205,2.222222222,0.24,0.604489632,0.230769231,0.428571429,0.098901099,0.581632653,1.719298246,0.538461538,3,6,0.065934066,0.461538462,0,2
35,12,0.094491118,0.0625,18,30,0.7,0.26,4.11,7.69E+298,0.46,2.1,0,0.94,0.352065518,0.974489637,2.857142857,0.15,0.793211369,0.153846154,0.4,0.061538462,0.397959184,2.512820513,0.384615385,2,8,0.123076923,0.615384615,0,3.5
36,12,0.21821789,0.142857143,15,27,0.65,0.33,4.71,1.54E+299,0.5,2.12,0,0.89,0.434645279,0.959991749,3.333333333,0.21,0.881443291,0.230769231,0.75,0.173076923,0.255102041,3.92,0.307692308,3,9,0.173076923,0.692307692,0,4
37,12,0.109108945,0.066666667,17,29,0.54,0.24,3.46,7.69E+298,0.38,1.7,0,0.96,0.264207016,0.960364298,2.222222222,0.1,0.998962385,0.153846154,0.5,0.076923077,0.357142857,2.8,0.307692308,2,9,0.173076923,0.692307692,1,2
38,12,0.21821789,0.142857143,15,27,0.6,0.32,4.82,1.54E+299,0.48,1.98,0,0.88,0.444601699,0.963429105,3.333333333,0.17,0.926326406,0.230769231,0.75,0.173076923,0.204081633,4.9,0.307692308,3,9,0.173076923,0.692307692,0,5
39,12,0.341565026,0.111111111,19,29,0.86,0.63,7.29,5.38E+299,0.77,2.88,0,0.98,0.608671786,0.984187927,1.666666667,0.37,0.60457398,0.230769231,0.375,0.086538462,0.765306122,1.306666667,0.615384615,3,5,0.048076923,0.384615385,0,2.5
40,12,0.251976315,0.117647059,19,29,0.85,0.58,6.86,4.62E+299,0.77,2.8,0,0.95,0.445031453,0.988699759,2,0.2,0.788761611,0.230769231,0.428571429,0.098901099,0.56122449,1.781818182,0.538461538,3,6,0.065934066,0.461538462,0,3.5
